I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,U,U,U,U,U,U,U,U,J,L,L,L,L,A,A,A,A,A,A,M,M,M,A,U,U,U,U,P,P,X,P,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,F,F,F,F,F,F,F,F,F,F,Z,Z,Z,Z,Z,Z,Z,Z,Z,T,T,T,T,T,T,T,V,V,V,V,V,V,V,V,V,V,P,V,R,R,R,R,R,J,O,Y,O,O,O,O,O,O,O,O,O,O
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,U,U,U,U,U,U,U,U,U,J,A,L,E,A,A,A,A,A,A,A,A,A,A,A,A,U,U,U,U,P,X,P,P,Z,Z,Z,Z,Z,H,H,H,H,H,H,X,H,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,F,X,F,F,F,F,F,F,F,F,Z,Z,Z,Z,Z,Z,Z,Z,Z,T,T,T,T,T,T,T,T,V,V,V,V,V,V,V,V,V,V,V,R,R,R,S,R,R,O,O,O,O,O,O,O,O,O,O,O,O
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,U,U,U,U,U,U,U,U,U,J,A,A,A,A,A,A,A,A,A,A,A,A,A,A,U,U,P,P,P,P,P,P,P,Z,Z,Z,Z,Z,Z,Z,H,H,H,H,H,H,H,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,F,F,F,F,F,F,F,F,F,Z,Z,Z,Z,Z,Z,Z,T,T,T,T,T,T,T,T,T,V,V,V,V,V,V,V,V,V,V,V,R,R,S,S,K,K,O,O,O,O,O,O,O,O,O,O,O,O
I,I,I,I,I,I,I,I,I,I,I,A,A,I,I,I,I,I,I,I,I,I,U,U,U,U,U,U,U,J,J,A,A,A,A,A,A,A,A,A,A,A,A,A,A,V,V,P,P,P,P,P,P,P,P,Z,H,H,H,H,H,H,H,H,H,H,H,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,F,F,F,F,F,F,F,F,F,F,F,Z,Z,Z,Z,Z,Z,Z,T,T,T,T,T,T,T,T,V,V,V,V,V,V,V,V,K,V,V,V,V,D,S,S,S,S,O,O,O,O,O,O,O,O,O,O,O,O
I,O,O,I,I,I,I,I,I,I,I,A,A,I,I,I,I,I,I,I,I,I,I,U,U,U,Q,V,U,J,J,A,A,A,A,A,A,A,A,A,A,A,A,A,E,V,V,Z,P,P,P,P,P,P,P,H,H,H,H,H,H,H,H,H,H,H,H,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,F,F,F,F,F,F,L,L,L,L,A,L,L,L,L,T,T,T,T,T,T,T,T,V,V,V,V,V,V,V,V,V,V,V,V,V,V,S,S,S,S,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,I,I,A,A,A,A,A,I,I,I,I,I,I,I,I,U,Q,Q,Q,Q,V,Q,J,A,A,A,A,A,A,A,A,A,A,A,A,A,A,V,V,P,P,P,P,P,I,I,H,H,H,H,H,H,H,H,H,H,H,H,H,X,X,X,X,X,U,X,X,X,X,X,X,U,U,X,X,B,B,B,S,F,F,F,L,L,L,L,L,L,L,L,L,L,L,L,L,L,T,T,T,T,T,T,V,V,V,V,V,V,V,V,V,V,V,V,V,C,C,S,S,S,S,S,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,I,A,A,A,A,A,A,I,I,I,I,I,I,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,E,A,D,D,A,A,A,A,A,A,A,A,H,H,V,V,P,P,P,I,I,I,I,H,H,H,H,H,H,H,H,H,H,H,H,H,X,X,X,U,U,U,U,U,X,X,U,U,U,X,X,B,B,B,S,F,F,F,L,L,E,L,L,L,L,L,L,L,L,L,L,T,T,T,T,T,T,T,V,V,V,V,V,V,V,V,V,V,V,F,V,C,C,C,Y,S,S,J,J,V,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,I,I,I,A,A,I,I,I,I,I,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,T,Q,J,Q,E,E,D,D,D,A,A,A,A,A,A,H,H,V,V,V,V,P,I,I,I,I,I,H,H,H,H,H,H,H,H,H,H,H,H,H,X,U,U,U,U,U,U,U,U,U,U,U,M,M,X,B,B,B,S,S,S,F,F,F,L,L,L,L,L,L,L,L,L,L,L,L,T,T,T,T,T,T,T,W,V,V,V,V,V,V,V,V,V,V,V,S,Y,Y,Y,Y,S,J,J,V,O,O,O,O,O,O,O,S
O,O,O,O,O,W,W,I,I,I,I,I,I,I,I,I,I,I,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,T,Q,J,D,D,D,D,D,D,A,A,A,H,A,H,H,H,H,V,V,I,I,I,I,I,I,I,H,I,I,I,H,H,H,H,H,H,H,H,H,U,U,U,U,U,U,U,U,U,U,U,U,M,M,S,S,B,B,S,S,S,S,F,F,F,L,L,L,L,L,L,L,L,L,L,L,T,T,T,T,T,T,T,W,V,V,V,V,V,V,V,V,V,V,Z,S,H,Y,Y,Y,S,S,J,J,O,O,O,O,O,O,O,S
O,O,O,O,O,E,W,I,I,I,I,I,I,I,I,D,I,I,I,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,D,D,D,D,D,D,D,D,A,H,H,H,H,H,H,H,V,H,I,I,I,I,I,I,I,I,I,I,I,H,H,H,H,H,H,H,H,H,U,U,U,U,U,U,U,U,U,U,U,U,M,M,M,S,S,S,S,S,S,L,F,L,F,L,L,L,L,L,L,L,L,L,L,L,T,T,T,T,T,T,W,W,W,W,V,V,V,V,V,U,V,U,S,S,S,Y,S,S,S,J,J,J,J,S,S,S,S,O,S,S
